ZTE ONU STATE | HOST: 103.103.115.218:2200

*************************************************************************
Welcome to ZXAN product C320 of ZTE Corporation
*************************************************************************

Last login time is 05.05.2026-23:41:58-UTC, 0 authentication failures happened s
ince that time.
Username:
Password:
% The password is not strong, please change the password.

ZXAN#
===== CMD: terminal length 0 =====

ZXAN#
===== CMD: show gpon onu state =====

OnuIndex   Admin State  OMCC State  Phase State  Channel    
1/2/9:38    enable       enable      working      1(GPON)
1/2/9:40    enable       disable     OffLine      1(GPON)
1/2/9:41    enable       disable     OffLine      1(GPON)
1/2/9:42    enable       enable      working      1(GPON)
1/2/9:43    enable       disable     OffLine      1(GPON)
1/2/9:45    enable       disable     OffLine      1(GPON)
1/2/9:47    enable       enable      working      1(GPON)
1/2/9:48    enable       disable     OffLine      1(GPON)
1/2/9:49    enable       enable      working      1(GPON)
1/2/9:51    enable       enable      working      1(GPON)
1/2/9:52    enable       disable     OffLine      1(GPON)
1/2/9:53    enable       disable     OffLine      1(GPON)
1/2/9:54    enable       disable     OffLine      1(GPON)
1/2/9:55    enable       disable     OffLine      1(GPON)
1/2/9:56    enable       enable      working      1(GPON)
1/2/9:57    enable       enable      working      1(GPON)
1/2/9:58    enable       disable     OffLine      1(GPON)
1/2/9:59    enable       disable     OffLine      1(GPON)
1/2/9:60    enable       disable     OffLine      1(GPON)
1/2/9:61    enable       enable      working      1(GPON)
1/2/9:62    enable       disable     OffLine      1(GPON)
1/2/9:63    enable       disable     OffLine      1(GPON)
1/2/9:64    enable       disable     OffLine      1(GPON)
1/2/9:65    enable       disable     OffLine      1(GPON)
1/2/9:66    enable       disable     OffLine      1(GPON)
1/2/9:67    enable       disable     OffLine      1(GPON)
1/2/9:68    enable       disable     OffLine      1(GPON)
1/2/9:69    enable       enable      working      1(GPON)
1/2/9:70    enable       enable      working      1(GPON)
1/2/9:71    enable       disable     OffLine      1(GPON)
1/2/9:72    enable       disable     OffLine      1(GPON)
1/2/9:73    enable       disable     OffLine      1(GPON)
1/2/9:74    enable       enable      working      1(GPON)
1/2/9:75    enable       enable      working      1(GPON)
1/2/9:76    enable       enable      working      1(GPON)
1/2/9:77    enable       enable      working      1(GPON)
1/2/9:78    enable       disable     OffLine      1(GPON)
1/2/9:79    enable       disable     OffLine      1(GPON)
1/2/9:80    enable       enable      working      1(GPON)
1/2/9:81    enable       disable     OffLine      1(GPON)
1/2/9:82    enable       enable      working      1(GPON)
1/2/9:83    enable       disable     DyingGasp    1(GPON)
1/2/9:84    enable       disable     OffLine      1(GPON)
1/2/9:85    enable       enable      working      1(GPON)
1/2/9:86    enable       disable     DyingGasp    1(GPON)
1/2/9:87    enable       disable     OffLine      1(GPON)
1/2/10:1    enable       disable     OffLine      1(GPON)
1/2/10:2    enable       disable     OffLine      1(GPON)
1/2/10:3    enable       enable      working      1(GPON)
1/2/10:5    enable       disable     OffLine      1(GPON)
1/2/10:6    enable       disable     OffLine      1(GPON)
1/2/10:7    enable       enable      working      1(GPON)
1/2/10:8    enable       enable      working      1(GPON)
1/2/10:9    enable       disable     OffLine      1(GPON)
1/2/10:10   enable       disable     OffLine      1(GPON)
1/2/10:11   enable       disable     OffLine      1(GPON)
1/2/10:12   enable       enable      working      1(GPON)
1/2/10:13   enable       enable      working      1(GPON)
1/2/10:14   enable       enable      working      1(GPON)
1/2/10:15   enable       disable     OffLine      1(GPON)
1/2/10:16   enable       disable     OffLine      1(GPON)
1/2/10:17   enable       disable     OffLine      1(GPON)
1/2/10:18   enable       enable      working      1(GPON)
1/2/10:19   enable       disable     OffLine      1(GPON)
1/2/10:20   enable       enable      working      1(GPON)
1/2/10:21   enable       disable     OffLine      1(GPON)
1/2/10:22   enable       enable      working      1(GPON)
1/2/10:23   enable       disable     OffLine      1(GPON)
1/2/10:24   enable       enable      working      1(GPON)
1/2/10:25   enable       enable      working      1(GPON)
1/2/10:27   enable       disable     OffLine      1(GPON)
1/2/10:28   enable       disable     OffLine      1(GPON)
1/2/10:29   enable       enable      working      1(GPON)
1/2/10:30   enable       enable      working      1(GPON)
1/2/10:31   enable       enable      working      1(GPON)
1/2/10:32   enable       disable     OffLine      1(GPON)
1/2/10:33   enable       enable      working      1(GPON)
1/2/10:34   enable       enable      working      1(GPON)
1/2/10:35   enable       enable      working      1(GPON)
1/2/10:36   enable       enable      working      1(GPON)
1/2/10:37   enable       disable     OffLine      1(GPON)
1/2/10:38   enable       disable     OffLine      1(GPON)
1/2/10:39   enable       enable      working      1(GPON)
1/2/10:40   enable       disable     OffLine      1(GPON)
1/2/10:41   enable       enable      working      1(GPON)
1/2/10:42   enable       enable      working      1(GPON)
1/2/10:43   enable       enable      working      1(GPON)
1/2/10:44   enable       disable     OffLine      1(GPON)
1/2/10:45   enable       enable      working      1(GPON)
1/2/10:51   enable       disable     OffLine      1(GPON)
1/2/10:52   enable       enable      working      1(GPON)
1/2/10:128  enable       disable     OffLine      1(GPON)
1/2/12:1    enable       enable      working      1(GPON)
1/2/12:2    enable       disable     OffLine      1(GPON)
1/2/12:3    enable       disable     OffLine      1(GPON)
1/2/12:4    enable       enable      working      1(GPON)
1/2/12:5    enable       disable     OffLine      1(GPON)
1/2/12:6    enable       disable     OffLine      1(GPON)
1/2/12:7    enable       disable     OffLine      1(GPON)
1/2/12:8    enable       disable     OffLine      1(GPON)
1/2/12:9    enable       disable     OffLine      1(GPON)
1/2/12:10   enable       disable     OffLine      1(GPON)
1/2/12:11   enable       enable      working      1(GPON)
1/2/12:12   enable       disable     OffLine      1(GPON)
1/2/12:13   enable       enable      working      1(GPON)
1/2/12:14   enable       disable     OffLine      1(GPON)
1/2/12:15   enable       enable      working      1(GPON)
1/2/12:16   enable       disable     OffLine      1(GPON)
1/2/12:17   enable       disable     OffLine      1(GPON)
1/2/12:18   enable       disable     OffLine      1(GPON)
1/2/12:19   enable       disable     OffLine      1(GPON)
1/2/12:20   enable       enable      working      1(GPON)
1/2/12:21   enable       enable      working      1(GPON)
1/2/12:22   enable       disable     OffLine      1(GPON)
1/2/12:23   enable       enable      working      1(GPON)
1/2/12:24   enable       disable     OffLine      1(GPON)
1/2/12:25   enable       enable      working      1(GPON)
1/2/12:26   enable       disable     OffLine      1(GPON)
1/2/12:27   enable       disable     OffLine      1(GPON)
1/2/12:29   enable       disable     OffLine      1(GPON)
1/2/12:30   enable       disable     OffLine      1(GPON)
1/2/12:31   enable       enable      working      1(GPON)
1/2/12:32   enable       enable      working      1(GPON)
1/2/12:33   enable       enable      working      1(GPON)
1/2/12:34   enable       disable     OffLine      1(GPON)
1/2/12:35   enable       disable     DyingGasp    1(GPON)
1/2/12:36   enable       enable      working      1(GPON)
1/2/12:37   enable       disable     OffLine      1(GPON)
1/2/12:38   enable       disable     OffLine      1(GPON)
1/2/12:39   enable       disable     OffLine      1(GPON)
1/2/12:40   enable       disable     OffLine      1(GPON)
1/2/12:41   enable       enable      working      1(GPON)
1/2/12:42   enable       enable      working      1(GPON)
1/2/12:43   enable       enable      working      1(GPON)
1/2/12:126  enable       disable     OffLine      1(GPON)
1/2/12:127  enable       enable      working      1(GPON)
1/2/12:128  enable       disable     OffLine      1(GPON)
1/2/14:1    enable       enable      working      1(GPON)
1/2/14:2    enable       disable     OffLine      1(GPON)
1/2/14:3    enable       enable      working      1(GPON)
1/2/14:4    enable       disable     OffLine      1(GPON)
1/2/14:5    enable       enable      working      1(GPON)
1/2/14:6    enable       disable     OffLine      1(GPON)
1/2/14:7    enable       disable     OffLine      1(GPON)
1/2/14:8    enable       enable      working      1(GPON)
1/2/14:9    enable       enable      working      1(GPON)
1/2/14:10   enable       enable      working      1(GPON)
1/2/14:11   enable       disable     OffLine      1(GPON)
1/2/14:12   enable       disable     OffLine      1(GPON)
1/2/14:13   enable       disable     OffLine      1(GPON)
1/2/14:14   enable       disable     OffLine      1(GPON)
1/2/14:15   enable       disable     OffLine      1(GPON)
1/2/14:16   enable       disable     OffLine      1(GPON)
1/2/14:17   enable       enable      working      1(GPON)
1/2/14:18   enable       disable     OffLine      1(GPON)
1/2/14:19   enable       disable     OffLine      1(GPON)
1/2/14:20   enable       disable     OffLine      1(GPON)
1/2/14:21   enable       enable      working      1(GPON)
1/2/14:22   enable       enable      working      1(GPON)
1/2/14:23   enable       disable     OffLine      1(GPON)
1/2/14:24   enable       enable      working      1(GPON)
1/2/14:25   enable       enable      working      1(GPON)
1/2/14:26   enable       disable     OffLine      1(GPON)
1/2/14:27   enable       enable      working      1(GPON)
1/2/14:28   enable       disable     LOS          1(GPON)
1/2/14:29   enable       enable      working      1(GPON)
1/2/14:31   enable       disable     DyingGasp    1(GPON)
1/2/14:32   enable       enable      working      1(GPON)
1/2/15:1    enable       disable     OffLine      1(GPON)
1/2/15:2    enable       disable     OffLine      1(GPON)
1/2/15:3    enable       enable      working      1(GPON)
1/2/15:4    enable       disable     OffLine      1(GPON)
1/2/15:5    enable       disable     OffLine      1(GPON)
1/2/15:6    enable       disable     OffLine      1(GPON)
1/2/15:7    enable       disable     OffLine      1(GPON)
1/2/15:8    enable       enable      working      1(GPON)
1/2/15:9    enable       enable      working      1(GPON)
1/2/15:10   enable       disable     OffLine      1(GPON)
1/2/15:11   enable       disable     OffLine      1(GPON)
1/2/15:12   enable       disable     OffLine      1(GPON)
1/2/15:13   enable       enable      working      1(GPON)
1/2/15:14   enable       enable      working      1(GPON)
1/2/15:15   enable       disable     OffLine      1(GPON)
1/2/15:16   enable       enable      working      1(GPON)
1/2/15:17   enable       disable     OffLine      1(GPON)
1/2/15:18   enable       disable     OffLine      1(GPON)
1/2/15:19   enable       disable     OffLine      1(GPON)
1/2/15:20   enable       disable     OffLine      1(GPON)
1/2/15:21   enable       enable      working      1(GPON)
1/2/15:22   enable       disable     OffLine      1(GPON)
1/2/15:23   enable       enable      working      1(GPON)
1/2/15:24   enable       disable     OffLine      1(GPON)
1/2/15:25   enable       enable      working      1(GPON)
1/2/15:27   enable       enable      working      1(GPON)
1/2/15:28   enable       enable      working      1(GPON)
1/2/15:29   enable       enable      working      1(GPON)
1/2/15:30   enable       enable      working      1(GPON)
1/2/15:31   enable       disable     OffLine      1(GPON)
1/2/15:32   enable       disable     OffLine      1(GPON)
1/2/15:33   enable       disable     OffLine      1(GPON)
1/2/15:34   enable       enable      working      1(GPON)
1/2/15:35   enable       enable      working      1(GPON)
1/2/15:36   enable       enable      working      1(GPON)
1/2/15:37   enable       disable     OffLine      1(GPON)
1/2/15:38   enable       disable     OffLine      1(GPON)
1/2/15:39   enable       disable     OffLine      1(GPON)
1/2/15:40   enable       disable     OffLine      1(GPON)
1/2/15:41   enable       enable      working      1(GPON)
1/2/15:42   enable       enable      working      1(GPON)
1/2/15:43   enable       enable      working      1(GPON)
1/2/15:44   enable       disable     OffLine      1(GPON)
1/2/15:50   enable       disable     OffLine      1(GPON)
1/2/15:51   enable       disable     OffLine      1(GPON)
1/2/15:52   enable       enable      working      1(GPON)
1/2/15:53   enable       enable      working      1(GPON)
1/2/15:54   enable       enable      working      1(GPON)
1/2/15:55   enable       enable      working      1(GPON)
1/2/15:56   enable       enable      working      1(GPON)
1/2/15:57   enable       enable      working      1(GPON)
1/2/15:58   enable       enable      working      1(GPON)
1/2/15:59   enable       disable     OffLine      1(GPON)
1/2/15:60   enable       enable      working      1(GPON)
1/2/15:61   enable       enable      working      1(GPON)
1/2/15:62   enable       disable     OffLine      1(GPON)
1/2/15:63   enable       disable     OffLine      1(GPON)
1/2/15:64   enable       disable     OffLine      1(GPON)
1/2/15:65   enable       disable     OffLine      1(GPON)
1/2/15:66   enable       enable      working      1(GPON)
1/2/15:67   enable       disable     OffLine      1(GPON)
1/2/15:68   enable       disable     OffLine      1(GPON)
1/2/15:69   enable       enable      working      1(GPON)
1/2/15:70   enable       enable      working      1(GPON)
ONU Number: 180/380    
ZXAN#
